北京电信,#genre#
湖南快乐垂钓,http://123.118.56.249:8686/rtp/239.3.1.164:8001
华数星影,http://123.118.56.249:8686/rtp/239.3.1.94:4120
华数动作影院,http://123.118.56.249:8686/rtp/239.3.1.92:4120
华数喜剧影院,http://123.118.56.249:8686/rtp/239.3.1.91:4120
华数家庭影院,http://123.118.56.249:8686/rtp/239.3.1.93:4120
华数精选,http://123.118.56.249:8686/rtp/239.3.1.74:4120
华数经典电影,http://123.118.56.249:8686/rtp/239.3.1.195:9024
华数热播剧场,http://123.118.56.249:8686/rtp/239.3.1.194:9020
华数军旅剧场,http://123.118.56.249:8686/rtp/239.3.1.68:4120
华数城市剧场,http://123.118.56.249:8686/rtp/239.3.1.67:4120
华数武侠剧场,http://123.118.56.249:8686/rtp/239.3.1.90:4120
华数魅力时尚,http://123.118.56.249:8686/rtp/239.3.1.196:9012
古装剧场,http://123.118.56.249:8686/rtp/239.3.1.69:4120
华数少儿动画,http://123.118.56.249:8686/rtp/239.3.1.199:9000
华数动画,http://123.118.56.249:8686/rtp/239.3.1.80:4120
金鹰卡通,http://123.118.56.249:8686/rtp/239.3.1.51:9252
嘉佳卡通,http://123.118.56.249:8686/rtp/239.3.1.147:9268
IPTV地理,http://123.118.56.249:8686/rtp/239.3.1.71:4120
IPTV10解密,http://123.118.56.249:8686/rtp/239.3.1.75:4120
IPTV7军事,http://123.118.56.249:8686/rtp/239.3.1.76:4120
IPTV台球,http://123.118.56.249:8686/rtp/239.3.1.85:4120
IPTV国学,http://123.118.56.249:8686/rtp/239.3.1.77:4120
IPTV墨宝,http://123.118.56.249:8686/rtp/239.3.1.83:4120
IPTV好学生,http://123.118.56.249:8686/rtp/239.3.1.81:4120
山东教育卫视,http://123.118.56.249:8686/rtp/239.3.1.52:4120
IPTV11戏曲,http://123.118.56.249:8686/rtp/239.3.1.78:4120
IPTV收视指南,http://123.118.56.249:8686/rtp/239.3.1.193:8012
IPTV14早教,http://123.118.56.249:8686/rtp/239.3.1.79:4120
IPTV武术,http://123.118.56.249:8686/rtp/239.3.1.87:4120
IPTV爱生活,http://123.118.56.249:8686/rtp/239.3.1.86:4120
IPTV美人,http://123.118.56.249:8686/rtp/239.3.1.73:4120
IPTV美妆,http://123.118.56.249:8686/rtp/239.3.1.72:4120
IPTV足球,http://123.118.56.249:8686/rtp/239.3.1.89:4120
IPTV鉴赏,http://123.118.56.249:8686/rtp/239.3.1.82:4120
IPTV15音乐现场,http://123.118.56.249:8686/rtp/239.3.1.70:4120
光影,http://123.118.56.249:8686/rtp/239.3.1.84:4120
睛彩竞技,http://123.118.56.249:8686/rtp/239.3.1.125:8001
睛彩篮球,http://123.118.56.249:8686/rtp/239.3.1.126:8001
睛彩羽毛球,http://123.118.56.249:8686/rtp/239.3.1.127:8001
睛彩广场舞,http://123.118.56.249:8686/rtp/239.3.1.128:8001


北京卫视,http://114.254.87.121:8888/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.87.121:8888/rtp/239.3.1.159:8000
北京影视频道,http://114.254.87.121:8888/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.87.121:8888/rtp/239.3.1.242:8000
北京财经频道,http://114.254.87.121:8888/rtp/239.3.1.116:8000
北京生活频道,http://114.254.87.121:8888/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.87.121:8888/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.87.121:8888/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.87.121:8888/rtp/239.3.1.243:8000
北京国际频道,http://114.254.87.121:8888/rtp/239.3.1.235:8000
CCTV-1综合,http://114.254.87.121:8888/rtp/239.3.1.129:8008
