云南-电信,#genre#
CCTV-3高清,http://171.213.175.149:1880/rtp/239.93.1.11:2223
CCTV-4高清,http://171.213.175.149:1880/rtp/239.93.1.105:5140
CCTV-5高清,http://171.213.175.149:1880/rtp/239.93.42.37:5140
CCTV-6高清,http://171.213.175.149:1880/rtp/239.93.1.13:2226
CCTV-7高清,http://171.213.175.149:1880/rtp/239.93.1.67:5140
CCTV-8高清,http://171.213.175.149:1880/rtp/239.93.42.39:5140
CCTV-9高清,http://171.213.175.149:1880/rtp/239.93.1.24:5140
CCTV-10高清,http://171.213.175.149:1880/rtp/239.93.1.28:5140
CCTV-11高清,http://171.213.175.149:1880/rtp/239.93.0.102:5140
CCTV-12高清,http://171.213.175.149:1880/rtp/239.93.1.30:8124
CCTV-13高清,http://171.213.175.149:1880/rtp/239.93.0.66:5140
CCTV-少儿高清,http://171.213.175.149:1880/rtp/239.93.1.29:6000
CCTV-15高清,http://171.213.175.149:1880/rtp/239.93.0.103:5140
CCTV-17高清,http://171.213.175.149:1880/rtp/239.93.0.92:5140
CCTV-5＋高清,http://171.213.175.149:1880/rtp/239.93.1.36:8004
爱上4K,http://171.213.175.149:1880/rtp/239.93.0.97:5140
爱上4K 17M2160,http://171.213.175.149:1880/rtp/239.93.1.251:8224
CGTN英语,http://171.213.175.149:1880/rtp/239.93.0.104:5140
四川卫视高清,http://171.213.175.149:1880/rtp/239.93.0.20:1235
CDTV-1高清,http://171.213.175.149:1880/rtp/239.93.0.16:5140
湖南卫视高清,http://171.213.175.149:1880/rtp/239.93.0.88:5140
江苏卫视高清,http://171.213.175.149:1880/rtp/239.93.0.89:5140
浙江卫视高清,http://171.213.175.149:1880/rtp/239.93.0.124:5140
东方卫视高清,http://171.213.175.149:1880/rtp/239.93.0.123:5140
北京卫视高清,http://171.213.175.149:1880/rtp/239.93.0.180:5140
深圳卫视高清,http://171.213.175.149:1880/rtp/239.93.0.182:5140
广东卫视高清,http://171.213.175.149:1880/rtp/239.93.0.181:5140
天津卫视高清,http://171.213.175.149:1880/rtp/239.93.0.167:5140
山东卫视高清,http://171.213.175.149:1880/rtp/239.93.0.168:5140
SCTV-2高清,http://171.213.175.149:1880/rtp/239.93.1.101:5140
SCTV-3高清,http://171.213.175.149:1880/rtp/239.93.1.102:5140
SCTV-4高清,http://171.213.175.149:1880/rtp/239.93.0.47:5140
SCTV-5高清,http://171.213.175.149:1880/rtp/239.93.0.166:5140
SCTV-6高清,http://171.213.175.149:1880/rtp/239.93.1.144:5140
SCTV-7高清,http://171.213.175.149:1880/rtp/239.93.0.219:5140
SCTV-科教高清,http://171.213.175.149:1880/rtp/239.93.42.44:5140
四川乡村高清,http://171.213.175.149:1880/rtp/239.93.0.52:5140
康巴卫视高清,http://171.213.175.149:1880/rtp/239.93.0.41:5140
